a	 a_0
ai	 a_0 i
am	 a_0 m
an	 a_0 n
ang	 a_0 N
anh	 a_0 N_+ 
ao	 a_0 O
au	 a_X_0 u 
ay	 a_X_0 i 
ba	b a_0
bai	b a_0 i
bam	b a_0 m
ban	b a_0 n
bang	b a_0 N
banh	b a_0 N_+ 
bao	b a_0 O
bau	b a_X_0 u 
bay	b a_X_0 i 
be	b E_0
bem	b E_0 m
ben	b E_0 n
beng	b E_0 N
beo	b E_0 O
bi	b i_0
bia	b i@_0
bim	b i_0 m
bin	b i_0 n
binh	b i_0 N_+ 
biu	b i_0 u
biêm	b i@_0 m
biên	b i@_0 n
biêng	b i@_0 N
biêu	b i@_0 u
biếc	b i@_4 k
biệc	b i@_5 k
biếm	b i@_4 m
biềm	b i@_1 m
biểm	b i@_2 m
biễm	b i@_3 m
biệm	b i@_5 m
biến	b i@_4 n
biền	b i@_1 n
biển	b i@_2 n
biễn	b i@_3 n
biện	b i@_5 n
biếng	b i@_4 N
biềng	b i@_1 N
biểng	b i@_2 N
biễng	b i@_3 N
biệng	b i@_5 N
biếp	b i@_4 p
biệp	b i@_5 p
biết	b i@_4 t
biệt	b i@_5 t
biếu	b i@_4 u
biều	b i@_1 u
biểu	b i@_2 u
biễu	b i@_3 u
biệu	b i@_5 u
bo	b O_0
boa	b w a_0
boai	b w a_0 i
boam	b w a_0 m
boan	b w a_0 n
boang	b w a_0 N
boanh	b w a_0 N_+ 
boao	b w a_0 O
boay	b w a_X_0 i 
boe	b w E_0
boem	b w E_0 m
boen	b w E_0 n
boeo	b w E_0 O
boi	b O_0 i
bom	b O_0 m
bon	b O_0 n
bong	b O_0 Nm 
boong	b O_0 N
boà	b w a_1
boài	b w a_1 i
boàm	b w a_1 m
boàn	b w a_1 n
boàng	b w a_1 N
boành	b w a_1 N_+ 
boào	b w a_1 O
boày	b w a_X_1 i 
boá	b w a_4
boác	b w a_4 k
boách	b w a_4 k_+ 
boái	b w a_4 i
boám	b w a_4 m
boán	b w a_4 n
boáng	b w a_4 N
